alg,instance,rep,time,iterations,value
FI,ta004,12,9.0e-5,NA,1172
FI,ta004,13,5.2e-5,NA,1166
FI,ta004,14,6.3e-5,NA,1116
FI,ta004,15,5.3e-5,NA,1104
FI,ta004,16,6.1e-5,NA,1039
FI,ta004,17,5.5e-5,NA,1020
FI,ta004,18,6.4e-5,NA,1015
FI,ta004,19,4.8e-5,NA,985
FI,ta004,20,6.2e-5,NA,950
FI,ta004,21,0.00011,NA,915
FI,ta004,22,7.2e-5,NA,915
FI,ta004,23,7.9e-5,NA,915
FI,ta004,24,8.8e-5,NA,915
FI,ta004,25,5.3e-5,NA,909
FI,ta004,26,6.5e-5,NA,901
FI,ta004,27,5.7e-5,NA,857
FI,ta004,28,5.3e-5,NA,836
FI,ta004,29,5.7e-5,NA,819
FI,ta004,30,6.2e-5,NA,810
FI,ta004,31,7.7e-5,NA,810
FI,ta004,32,6.3e-5,NA,779
FI,ta004,33,7.2e-5,NA,773
FI,ta004,34,0.000153,NA,766
FI,ta004,35,6.3e-5,NA,763
FI,ta004,36,9.8e-5,NA,763
FI,ta004,37,8.9e-5,NA,763
FI,ta004,38,7.7e-5,NA,763
FI,ta004,39,7.0e-5,NA,763
FI,ta004,40,9.8e-5,NA,763
FI,ta004,41,0.000127,NA,759
FI,ta004,42,0.000298,NA,759
FI,ta004,43,0.00014,NA,759
FI,ta004,44,9.7e-5,NA,759
FI,ta004,45,0.000132,NA,759
FI,ta004,46,9.9e-5,NA,759
FI,ta004,47,7.8e-5,NA,759
FI,ta004,48,8.9e-5,NA,759
FI,ta004,49,8.5e-5,NA,759
FI,ta004,50,0.000131,NA,759
FI,ta004,51,7.1e-5,NA,759
FI,ta004,52,8.6e-5,NA,759
FI,ta004,53,7.7e-5,NA,759
FI,ta004,54,8.4e-5,NA,759
FI,ta004,55,7.6e-5,NA,759
FI,ta004,56,9.4e-5,NA,759
FI,ta004,57,7.4e-5,NA,759
FI,ta004,58,8.5e-5,NA,759
FI,ta004,59,7.6e-5,NA,759
FI,ta004,60,8.2e-5,NA,759
FI,ta004,61,0.000128,NA,759
FI,ta004,62,8.7e-5,NA,759
FI,ta004,63,8.4e-5,NA,759
FI,ta004,64,8.7e-5,NA,759
FI,ta004,65,0.000752,NA,759
FI,ta004,66,8.3e-5,NA,759
