p,instance,rep,time,iterations,value
0.75,ta004,2,6.5e-5,NA,1978
0.75,ta004,3,7.5e-5,NA,1978
0.75,ta004,4,6.1e-5,NA,1978
0.75,ta004,5,9.2e-5,NA,1978
0.75,ta004,6,0.000838,NA,1978
0.75,ta004,7,8.3e-5,NA,1978
0.75,ta004,8,0.000256,NA,1978
0.75,ta004,9,6.1e-5,NA,1978
0.75,ta004,10,4.8e-5,NA,1978
0.75,ta004,11,0.00012,NA,1978
0.75,ta004,12,0.000147,NA,1978
0.75,ta004,13,0.000105,NA,1978
0.75,ta004,14,7.8e-5,NA,1978
0.75,ta004,15,6.9e-5,NA,1978
1.0,ta004,1,6.6e-5,NA,1978
1.0,ta004,2,6.4e-5,NA,1978
1.0,ta004,3,6.7e-5,NA,1978
1.0,ta004,4,0.000163,NA,1978
1.0,ta004,5,6.8e-5,NA,1978
1.0,ta004,6,7.6e-5,NA,1978
1.0,ta004,7,7.2e-5,NA,1978
1.0,ta004,8,7.6e-5,NA,1978
1.0,ta004,9,6.6e-5,NA,1978
1.0,ta004,10,7.5e-5,NA,1978
1.0,ta004,11,6.6e-5,NA,1978
1.0,ta004,12,7.8e-5,NA,1978
1.0,ta004,13,6.6e-5,NA,1978
1.0,ta004,14,6.7e-5,NA,1978
1.0,ta004,15,0.000142,NA,1978
0.0,ta005,1,6.2e-5,NA,1481
0.0,ta005,2,6.6e-5,NA,1421
0.0,ta005,3,5.8e-5,NA,1222
0.0,ta005,4,4.6e-5,NA,1023
0.0,ta005,5,6.1e-5,NA,968
0.0,ta005,6,6.8e-5,NA,889
0.0,ta005,7,8.1e-5,NA,889
0.0,ta005,8,6.6e-5,NA,889
0.0,ta005,9,7.5e-5,NA,877
0.0,ta005,10,0.000127,NA,877
0.0,ta005,11,7.3e-5,NA,877
0.0,ta005,12,6.1e-5,NA,877
0.0,ta005,13,7.2e-5,NA,877
0.0,ta005,14,5.7e-5,NA,877
0.0,ta005,15,7.6e-5,NA,877
0.05,ta005,1,5.8e-5,NA,1535
0.05,ta005,2,7.6e-5,NA,1454
0.05,ta005,3,6.3e-5,NA,1430
0.05,ta005,4,7.5e-5,NA,1391
0.05,ta005,5,6.3e-5,NA,1352
0.05,ta005,6,0.000137,NA,1299
0.05,ta005,7,6.0e-5,NA,1289
0.05,ta005,8,7.3e-5,NA,1289
0.05,ta005,9,5.6e-5,NA,1289
0.05,ta005,10,6.8e-5,NA,1289
0.05,ta005,11,6.2e-5,NA,1289
0.05,ta005,12,6.9e-5,NA,1289
0.05,ta005,13,6.0e-5,NA,1289
0.05,ta005,14,7.8e-5,NA,1289
0.05,ta005,15,5.9e-5,NA,1289
0.25,ta005,1,6.7e-5,NA,1548
0.25,ta005,2,5.8e-5,NA,1421
0.25,ta005,3,5.3e-5,NA,1382
0.25,ta005,4,0.000138,NA,1300
0.25,ta005,5,6.9e-5,NA,1299
0.25,ta005,6,6.1e-5,NA,1279
0.25,ta005,7,7.6e-5,NA,1279
0.25,ta005,8,5.8e-5,NA,1279
0.25,ta005,9,7.6e-5,NA,1279
0.25,ta005,10,5.4e-5,NA,1279
0.25,ta005,11,7.5e-5,NA,1279
0.25,ta005,12,5.7e-5,NA,1279
0.25,ta005,13,7.5e-5,NA,1279
0.25,ta005,14,5.7e-5,NA,1279
0.25,ta005,15,0.000134,NA,1279
0.5,ta005,1,5.4e-5,NA,1635
0.5,ta005,2,5.9e-5,NA,1526
0.5,ta005,3,4.6e-5,NA,1516
0.5,ta005,4,6.6e-5,NA,1400
0.5,ta005,5,4.7e-5,NA,1376
0.5,ta005,6,6.4e-5,NA,1352
0.5,ta005,7,5.4e-5,NA,1319
0.5,ta005,8,6.4e-5,NA,1319
0.5,ta005,9,6.5e-5,NA,1319
0.5,ta005,10,5.2e-5,NA,1316
0.5,ta005,11,6.8e-5,NA,1316
0.5,ta005,12,6.4e-5,NA,1316
0.5,ta005,13,0.000137,NA,1301
0.5,ta005,14,6.5e-5,NA,1297
0.5,ta005,15,0.000715,NA,1297
0.75,ta005,1,0.000156,NA,1686
0.75,ta005,2,0.000258,NA,1598
0.75,ta005,3,0.000177,NA,1533
0.75,ta005,4,9.1e-5,NA,1494
0.75,ta005,5,6.7e-5,NA,1408
0.75,ta005,6,5.0e-5,NA,1337
0.75,ta005,7,8.4e-5,NA,1302
0.75,ta005,8,0.000189,NA,1289
0.75,ta005,9,6.7e-5,NA,1287
0.75,ta005,10,9.4e-5,NA,1287
0.75,ta005,11,0.000105,NA,1287
0.75,ta005,12,9.0e-5,NA,1287
0.75,ta005,13,9.7e-5,NA,1287
0.75,ta005,14,9.5e-5,NA,1287
0.75,ta005,15,0.000226,NA,1287
1.0,ta005,1,0.000101,NA,1768
1.0,ta005,2,7.2e-5,NA,1729
1.0,ta005,3,5.7e-5,NA,1725
1.0,ta005,4,6.6e-5,NA,1686
1.0,ta005,5,4.7e-5,NA,1639
1.0,ta005,6,5.7e-5,NA,1562
1.0,ta005,7,5.6e-5,NA,1523
1.0,ta005,8,8.8e-5,NA,1480
1.0,ta005,9,5.4e-5,NA,1402
1.0,ta005,10,7.3e-5,NA,1363
